#	Sample ID	User name	Date and Time	Nucleic Acid Conc.	Unit	A260	A280	260/280	260/230	Sample Type	Factor
1	0 mM	Eric Jinglong Ma	10/12/2016 5:00:06 PM	84.3	ng/µl	1.686	0.877	1.92	0.59	DNA	50.00
2	0.1 mM	Eric Jinglong Ma	10/12/2016 5:00:31 PM	38.6	ng/µl	0.772	0.376	2.05	0.13	DNA	50.00
3	0.2 mM	Eric Jinglong Ma	10/12/2016 5:00:52 PM	22.2	ng/µl	0.444	0.207	2.14	0.15	DNA	50.00
4	0.25 mM	Eric Jinglong Ma	10/12/2016 5:01:15 PM	9.9	ng/µl	0.198	0.057	3.49	0.02	DNA	50.00
5	0.3 mM	Eric Jinglong Ma	10/12/2016 5:01:37 PM	12.8	ng/µl	0.256	0.102	2.51	0.09	DNA	50.00
6	0.35 mM	Eric Jinglong Ma	10/12/2016 5:01:59 PM	9.3	ng/µl	0.186	0.067	2.78	0.03	DNA	50.00
7	0.4 mM	Eric Jinglong Ma	10/12/2016 5:02:20 PM	14.2	ng/µl	0.285	0.130	2.19	0.05	DNA	50.00
8	0.5 mM	Eric Jinglong Ma	10/12/2016 5:02:42 PM	7.3	ng/µl	0.145	0.032	4.54	0.01	DNA	50.00
